window_id,participant_id,session_id,task,cognitive_efficacy,autonomic_load,divergence_profile
sub-02:ses-S1:PVT:120:0,sub-02,ses-S1,PVT,0.6278538812785388,0.007267441860465116,low_vigilance_low_cardiac_activation
sub-02:ses-S1:PVT:120:1,sub-02,ses-S1,PVT,0.5513698630136986,0.020348837209302327,concordant_midrange
sub-02:ses-S1:PVT:120:2,sub-02,ses-S1,PVT,0.3584474885844749,0.01744186046511628,concordant_midrange
sub-02:ses-S1:PVT:120:3,sub-02,ses-S1,PVT,0.5662100456621005,0.05959302325581395,low_vigilance_low_cardiac_activation
sub-02:ses-S1:PVT:120:4,sub-02,ses-S1,PVT,0.4212328767123288,0.09738372093023256,concordant_midrange
sub-02:ses-S1:Flanker:120:0,sub-02,ses-S1,Flanker,0.4286834733893557,0.10901162790697674,concordant_midrange
sub-02:ses-S1:Flanker:120:1,sub-02,ses-S1,Flanker,0.589187675070028,0.1322674418604651,concordant_midrange
sub-02:ses-S1:Flanker:120:2,sub-02,ses-S1,Flanker,0.6055555555555555,0.0436046511627907,concordant_midrange
sub-02:ses-S1:Flanker:120:3,sub-02,ses-S1,Flanker,0.6277777777777778,0.05813953488372093,concordant_midrange
sub-02:ses-S1:Flanker:120:4,sub-02,ses-S1,Flanker,0.5188888888888888,0.07122093023255814,concordant_midrange
sub-02:ses-S1:NBack0:120:0,sub-02,ses-S1,NBack0,0.5589997005091345,0.08866279069767441,concordant_midrange
sub-02:ses-S1:NBack0:120:1,sub-02,ses-S1,NBack0,0.7429245283018868,0.06831395348837209,concordant_midrange
sub-02:ses-S1:NBack0:120:2,sub-02,ses-S1,NBack0,0.6933962264150944,0.1308139534883721,concordant_midrange
sub-02:ses-S1:NBack1:120:0,sub-02,ses-S1,NBack1,0.7311320754716982,0.14389534883720928,concordant_midrange
sub-02:ses-S1:NBack1:120:1,sub-02,ses-S1,NBack1,0.759433962264151,0.10319767441860465,concordant_midrange
sub-02:ses-S1:NBack1:120:2,sub-02,ses-S1,NBack1,0.7735849056603774,0.09011627906976744,concordant_midrange
sub-02:ses-S1:NBack2:120:0,sub-02,ses-S1,NBack2,0.4009808325846062,0.3023255813953488,concordant_midrange
sub-02:ses-S1:NBack2:120:1,sub-02,ses-S1,NBack2,0.4599056603773585,0.2950581395348837,concordant_midrange
sub-02:ses-S1:NBack2:120:2,sub-02,ses-S1,NBack2,0.45522611560347404,0.23401162790697674,concordant_midrange
sub-02:ses-S1:MATBEasy:120:0,sub-02,ses-S1,MATBEasy,0.6481481481481481,0.2252906976744186,concordant_midrange
sub-02:ses-S1:MATBEasy:120:1,sub-02,ses-S1,MATBEasy,0.688888888888889,0.12936046511627908,concordant_midrange
sub-02:ses-S1:MATBMedium:120:0,sub-02,ses-S1,MATBMedium,0.3194444444444444,0.2965116279069767,poor_cognition_preserved_autonomic_regulation
sub-02:ses-S1:MATBMedium:120:1,sub-02,ses-S1,MATBMedium,0.4,0.23110465116279072,concordant_midrange
sub-02:ses-S1:MATBDifficult:120:0,sub-02,ses-S1,MATBDifficult,0.13194444444444445,0.1002906976744186,poor_cognition_preserved_autonomic_regulation
sub-02:ses-S1:MATBDifficult:120:1,sub-02,ses-S1,MATBDifficult,0.04027777777777778,0.1191860465116279,poor_cognition_preserved_autonomic_regulation
sub-02:ses-S2:PVT:120:0,sub-02,ses-S2,PVT,0.5764840182648402,0.22674418604651164,concordant_midrange
sub-02:ses-S2:PVT:120:1,sub-02,ses-S2,PVT,0.6221461187214612,0.19476744186046513,concordant_midrange
sub-02:ses-S2:PVT:120:2,sub-02,ses-S2,PVT,0.30365296803652964,0.19040697674418605,poor_cognition_preserved_autonomic_regulation
sub-02:ses-S2:PVT:120:3,sub-02,ses-S2,PVT,0.5045662100456622,0.2005813953488372,concordant_midrange
sub-02:ses-S2:PVT:120:4,sub-02,ses-S2,PVT,0.3641552511415525,0.29069767441860467,concordant_midrange
sub-02:ses-S2:Flanker:120:0,sub-02,ses-S2,Flanker,0.6515406162464986,0.12209302325581395,concordant_midrange
sub-02:ses-S2:Flanker:120:1,sub-02,ses-S2,Flanker,0.6011111111111112,0.16279069767441862,concordant_midrange
sub-02:ses-S2:Flanker:120:2,sub-02,ses-S2,Flanker,0.4959103641456583,0.026162790697674417,concordant_midrange
sub-02:ses-S2:Flanker:120:3,sub-02,ses-S2,Flanker,0.7644444444444445,0.09956395348837209,concordant_midrange
sub-02:ses-S2:Flanker:120:4,sub-02,ses-S2,Flanker,0.4899719887955182,0.07122093023255814,concordant_midrange
sub-02:ses-S2:NBack0:120:0,sub-02,ses-S2,NBack0,0.7028301886792454,0.20639534883720928,concordant_midrange
sub-02:ses-S2:NBack0:120:1,sub-02,ses-S2,NBack0,0.5676474992512729,0.1613372093023256,concordant_midrange
sub-02:ses-S2:NBack1:120:0,sub-02,ses-S2,NBack1,0.5707921533393231,0.27325581395348836,concordant_midrange
sub-02:ses-S2:NBack1:120:1,sub-02,ses-S2,NBack1,0.5629305181191974,0.5174418604651163,concordant_midrange
sub-02:ses-S2:NBack2:120:0,sub-02,ses-S2,NBack2,0.36717580113806525,0.42441860465116277,concordant_midrange
sub-02:ses-S2:NBack2:120:1,sub-02,ses-S2,NBack2,0.4056978137166816,0.33284883720930236,concordant_midrange
sub-02:ses-S2:MATBEasy:120:0,sub-02,ses-S2,MATBEasy,0.5888888888888889,0.3430232558139535,concordant_midrange
sub-02:ses-S2:MATBEasy:120:1,sub-02,ses-S2,MATBEasy,0.6962962962962963,0.3590116279069767,concordant_midrange
sub-02:ses-S2:MATBMedium:120:0,sub-02,ses-S2,MATBMedium,0.5680555555555555,0.22383720930232556,concordant_midrange
sub-02:ses-S2:MATBMedium:120:1,sub-02,ses-S2,MATBMedium,0.5402777777777779,0.11337209302325582,concordant_midrange
sub-02:ses-S2:MATBDifficult:120:0,sub-02,ses-S2,MATBDifficult,0.2597222222222222,0.3648255813953488,concordant_midrange
sub-02:ses-S2:MATBDifficult:120:1,sub-02,ses-S2,MATBDifficult,0.22916666666666666,0.4491279069767442,concordant_midrange
sub-02:ses-S3:PVT:120:0,sub-02,ses-S3,PVT,0.5958904109589042,0.07994186046511628,low_vigilance_low_cardiac_activation
sub-02:ses-S3:PVT:120:1,sub-02,ses-S3,PVT,0.4531963470319635,0.2543604651162791,concordant_midrange
sub-02:ses-S3:PVT:120:2,sub-02,ses-S3,PVT,0.5319634703196346,0.10174418604651163,concordant_midrange
sub-02:ses-S3:PVT:120:3,sub-02,ses-S3,PVT,0.6358447488584474,0.07848837209302326,low_vigilance_low_cardiac_activation
sub-02:ses-S3:PVT:120:4,sub-02,ses-S3,PVT,0.4200913242009133,0.13372093023255816,concordant_midrange
sub-02:ses-S3:Flanker:120:0,sub-02,ses-S3,Flanker,0.5388888888888889,0.06831395348837209,concordant_midrange
sub-02:ses-S3:Flanker:120:1,sub-02,ses-S3,Flanker,0.65,0.06976744186046512,concordant_midrange
sub-02:ses-S3:Flanker:120:2,sub-02,ses-S3,Flanker,0.5677777777777778,0.055232558139534885,concordant_midrange
sub-02:ses-S3:Flanker:120:3,sub-02,ses-S3,Flanker,0.6322222222222222,0.05668604651162791,concordant_midrange
sub-02:ses-S3:Flanker:120:4,sub-02,ses-S3,Flanker,0.5182633053221288,0.02616279069767442,concordant_midrange
sub-02:ses-S3:NBack0:120:0,sub-02,ses-S3,NBack0,0.6061695118298892,0.19767441860465118,concordant_midrange
sub-02:ses-S3:NBack0:120:1,sub-02,ses-S3,NBack0,0.7783018867924528,0.21220930232558138,concordant_midrange
sub-02:ses-S3:NBack1:120:0,sub-02,ses-S3,NBack1,0.628968253968254,0.02616279069767442,concordant_midrange
sub-02:ses-S3:NBack1:120:1,sub-02,ses-S3,NBack1,0.6486223420185685,0.06540697674418604,concordant_midrange
sub-02:ses-S3:NBack2:120:0,sub-02,ses-S3,NBack2,0.518905360886493,0.2703488372093023,concordant_midrange
sub-02:ses-S3:NBack2:120:1,sub-02,ses-S3,NBack2,0.6533018867924528,0.14244186046511628,concordant_midrange
sub-02:ses-S3:MATBEasy:120:0,sub-02,ses-S3,MATBEasy,0.6407407407407407,0.2805232558139535,concordant_midrange
sub-02:ses-S3:MATBEasy:120:1,sub-02,ses-S3,MATBEasy,0.7851851851851852,0.26308139534883723,concordant_midrange
sub-02:ses-S3:MATBMedium:120:0,sub-02,ses-S3,MATBMedium,0.538888888888889,0.30377906976744184,concordant_midrange
sub-02:ses-S3:MATBMedium:120:1,sub-02,ses-S3,MATBMedium,0.6236111111111111,0.29941860465116277,concordant_midrange
sub-02:ses-S3:MATBDifficult:120:0,sub-02,ses-S3,MATBDifficult,0.34444444444444444,0.22093023255813954,concordant_midrange
sub-02:ses-S3:MATBDifficult:120:1,sub-02,ses-S3,MATBDifficult,0.18055555555555555,0.24854651162790697,poor_cognition_preserved_autonomic_regulation
sub-03:ses-S1:PVT:120:0,sub-03,ses-S1,PVT,0.5856164383561644,0.5625,concordant_midrange
sub-03:ses-S1:PVT:120:1,sub-03,ses-S1,PVT,0.34018264840182644,0.49127906976744184,concordant_midrange
sub-03:ses-S1:PVT:120:2,sub-03,ses-S1,PVT,0.41324200913242004,0.5261627906976745,concordant_midrange
sub-03:ses-S1:PVT:120:3,sub-03,ses-S1,PVT,0.5833333333333334,0.47383720930232565,low_vigilance_low_cardiac_activation
sub-03:ses-S1:PVT:120:4,sub-03,ses-S1,PVT,0.40525114155251146,0.4215116279069767,concordant_midrange
sub-03:ses-S1:Flanker:120:0,sub-03,ses-S1,Flanker,0.3615126050420168,0.34593023255813954,concordant_midrange
sub-03:ses-S1:Flanker:120:1,sub-03,ses-S1,Flanker,0.7422222222222222,0.3517441860465116,concordant_midrange
sub-03:ses-S1:Flanker:120:2,sub-03,ses-S1,Flanker,0.5595518207282913,0.3517441860465116,concordant_midrange
sub-03:ses-S1:Flanker:120:3,sub-03,ses-S1,Flanker,0.5174789915966386,0.3982558139534884,concordant_midrange
sub-03:ses-S1:Flanker:120:4,sub-03,ses-S1,Flanker,0.31428571428571433,0.43459302325581395,concordant_midrange
sub-03:ses-S1:NBack0:120:0,sub-03,ses-S1,NBack0,0.5825471698113208,0.501453488372093,concordant_midrange
sub-03:ses-S1:NBack0:120:1,sub-03,ses-S1,NBack0,0.6462264150943396,0.4898255813953488,concordant_midrange
sub-03:ses-S1:NBack0:120:2,sub-03,ses-S1,NBack0,0.6721698113207548,0.501453488372093,concordant_midrange
sub-03:ses-S1:NBack1:120:0,sub-03,ses-S1,NBack1,0.4552261156034741,0.47965116279069764,concordant_midrange
sub-03:ses-S1:NBack1:120:1,sub-03,ses-S1,NBack1,0.6002358490566038,0.3866279069767442,concordant_midrange
sub-03:ses-S1:NBack1:120:2,sub-03,ses-S1,NBack1,0.5778301886792453,0.3619186046511628,concordant_midrange
sub-03:ses-S1:NBack2:120:0,sub-03,ses-S1,NBack2,0.3773584905660378,0.5232558139534884,concordant_midrange
sub-03:ses-S1:NBack2:120:1,sub-03,ses-S1,NBack2,0.3294399520814615,0.5305232558139534,concordant_midrange
sub-03:ses-S1:NBack2:120:2,sub-03,ses-S1,NBack2,0.2932764300688829,0.4767441860465116,concordant_midrange
sub-03:ses-S1:MATBEasy:120:0,sub-03,ses-S1,MATBEasy,0.7925925925925926,0.3866279069767442,concordant_midrange
sub-03:ses-S1:MATBEasy:120:1,sub-03,ses-S1,MATBEasy,0.9777777777777779,0.42441860465116277,concordant_midrange
sub-03:ses-S1:MATBMedium:120:0,sub-03,ses-S1,MATBMedium,0.7388888888888889,0.5043604651162791,concordant_midrange
sub-03:ses-S1:MATBMedium:120:1,sub-03,ses-S1,MATBMedium,0.7347222222222222,0.4796511627906977,concordant_midrange
sub-03:ses-S1:MATBDifficult:120:0,sub-03,ses-S1,MATBDifficult,0.25277777777777777,0.6002906976744187,concordant_midrange
sub-03:ses-S1:MATBDifficult:120:1,sub-03,ses-S1,MATBDifficult,0.2375,0.5421511627906976,concordant_midrange
sub-03:ses-S2:PVT:120:0,sub-03,ses-S2,PVT,0.6278538812785388,0.2761627906976744,low_vigilance_low_cardiac_activation
sub-03:ses-S2:PVT:120:1,sub-03,ses-S2,PVT,0.4646118721461187,0.22819767441860464,concordant_midrange
sub-03:ses-S2:PVT:120:2,sub-03,ses-S2,PVT,0.5605022831050229,0.23110465116279072,concordant_midrange
sub-03:ses-S2:PVT:120:3,sub-03,ses-S2,PVT,0.5901826484018264,0.25,low_vigilance_low_cardiac_activation
sub-03:ses-S2:PVT:120:4,sub-03,ses-S2,PVT,0.4155251141552512,0.1758720930232558,concordant_midrange
sub-03:ses-S2:Flanker:120:0,sub-03,ses-S2,Flanker,0.5455555555555556,0.3691860465116279,concordant_midrange
sub-03:ses-S2:Flanker:120:1,sub-03,ses-S2,Flanker,0.4777777777777778,0.31540697674418605,concordant_midrange
sub-03:ses-S2:Flanker:120:2,sub-03,ses-S2,Flanker,0.5022222222222222,0.3808139534883721,concordant_midrange
sub-03:ses-S2:Flanker:120:3,sub-03,ses-S2,Flanker,0.7244444444444444,0.31540697674418605,concordant_midrange
sub-03:ses-S2:Flanker:120:4,sub-03,ses-S2,Flanker,0.6288888888888889,0.38953488372093026,concordant_midrange
sub-03:ses-S2:NBack0:120:0,sub-03,ses-S2,NBack0,0.5770814615154237,0.1933139534883721,concordant_midrange
sub-03:ses-S2:NBack0:120:1,sub-03,ses-S2,NBack0,0.7688679245283019,0.28415697674418605,concordant_midrange
sub-03:ses-S2:NBack1:120:0,sub-03,ses-S2,NBack1,0.7216981132075473,0.3633720930232558,concordant_midrange
sub-03:ses-S2:NBack1:120:1,sub-03,ses-S2,NBack1,0.7169811320754718,0.27180232558139533,concordant_midrange
sub-03:ses-S2:NBack2:120:0,sub-03,ses-S2,NBack2,0.509433962264151,0.3706395348837209,concordant_midrange
sub-03:ses-S2:NBack2:120:1,sub-03,ses-S2,NBack2,0.42299341120095835,0.4215116279069767,concordant_midrange
sub-03:ses-S2:MATBEasy:120:0,sub-03,ses-S2,MATBEasy,0.9074074074074074,0.28343023255813954,concordant_midrange
sub-03:ses-S2:MATBEasy:120:1,sub-03,ses-S2,MATBEasy,0.9185185185185185,0.3313953488372093,concordant_midrange
sub-03:ses-S2:MATBMedium:120:0,sub-03,ses-S2,MATBMedium,0.8013888888888888,0.502906976744186,concordant_midrange
sub-03:ses-S2:MATBMedium:120:1,sub-03,ses-S2,MATBMedium,0.7902777777777777,0.5421511627906976,concordant_midrange
sub-03:ses-S2:MATBDifficult:120:0,sub-03,ses-S2,MATBDifficult,0.18888888888888888,0.4680232558139535,concordant_midrange
sub-03:ses-S2:MATBDifficult:120:1,sub-03,ses-S2,MATBDifficult,0.20555555555555557,0.4258720930232558,concordant_midrange
sub-03:ses-S3:PVT:120:0,sub-03,ses-S3,PVT,0.5730593607305936,0.24709302325581395,low_vigilance_low_cardiac_activation
sub-03:ses-S3:PVT:120:1,sub-03,ses-S3,PVT,0.4132420091324201,0.22093023255813954,concordant_midrange
sub-03:ses-S3:PVT:120:2,sub-03,ses-S3,PVT,0.5205479452054794,0.2616279069767442,concordant_midrange
sub-03:ses-S3:PVT:120:3,sub-03,ses-S3,PVT,0.6267123287671234,0.26308139534883723,low_vigilance_low_cardiac_activation
sub-03:ses-S3:PVT:120:4,sub-03,ses-S3,PVT,0.4166666666666667,0.2761627906976744,concordant_midrange
sub-03:ses-S3:Flanker:120:0,sub-03,ses-S3,Flanker,0.538375350140056,0.24854651162790697,concordant_midrange
sub-03:ses-S3:Flanker:120:1,sub-03,ses-S3,Flanker,0.6277777777777778,0.376453488372093,concordant_midrange
sub-03:ses-S3:Flanker:120:2,sub-03,ses-S3,Flanker,0.6544444444444445,0.3924418604651163,concordant_midrange
sub-03:ses-S3:Flanker:120:3,sub-03,ses-S3,Flanker,0.5777777777777778,0.33866279069767447,concordant_midrange
sub-03:ses-S3:Flanker:120:4,sub-03,ses-S3,Flanker,0.7744444444444444,0.3502906976744186,concordant_midrange
sub-03:ses-S3:NBack0:120:0,sub-03,ses-S3,NBack0,0.5346286313267445,0.3706395348837209,concordant_midrange
sub-03:ses-S3:NBack0:120:1,sub-03,ses-S3,NBack0,0.6816037735849056,0.24127906976744184,concordant_midrange
sub-03:ses-S3:NBack1:120:0,sub-03,ses-S3,NBack1,0.7853773584905661,0.34738372093023256,concordant_midrange
sub-03:ses-S3:NBack1:120:1,sub-03,ses-S3,NBack1,0.5778676250374364,0.3866279069767442,concordant_midrange
sub-03:ses-S3:NBack2:120:0,sub-03,ses-S3,NBack2,0.5424902665468703,0.38808139534883723,concordant_midrange
sub-03:ses-S3:NBack2:120:1,sub-03,ses-S3,NBack2,0.48820754716981135,0.35755813953488375,concordant_midrange
sub-03:ses-S3:MATBEasy:120:0,sub-03,ses-S3,MATBEasy,0.8925925925925927,0.3444767441860465,concordant_midrange
sub-03:ses-S3:MATBEasy:120:1,sub-03,ses-S3,MATBEasy,0.8999999999999999,0.4840116279069767,concordant_midrange
sub-03:ses-S3:MATBMedium:120:0,sub-03,ses-S3,MATBMedium,0.6138888888888889,0.27906976744186046,concordant_midrange
sub-03:ses-S3:MATBMedium:120:1,sub-03,ses-S3,MATBMedium,0.8027777777777778,0.3546511627906977,concordant_midrange
sub-03:ses-S3:MATBDifficult:120:0,sub-03,ses-S3,MATBDifficult,0.3027777777777778,0.31976744186046513,poor_cognition_preserved_autonomic_regulation
sub-03:ses-S3:MATBDifficult:120:1,sub-03,ses-S3,MATBDifficult,0.38749999999999996,0.36773255813953487,concordant_midrange
sub-04:ses-S1:PVT:120:0,sub-04,ses-S1,PVT,0.5730593607305936,0.2936046511627907,concordant_midrange
sub-04:ses-S1:PVT:120:1,sub-04,ses-S1,PVT,0.40981735159817356,0.28488372093023256,concordant_midrange
sub-04:ses-S1:PVT:120:2,sub-04,ses-S1,PVT,0.5605022831050229,0.25872093023255816,concordant_midrange
sub-04:ses-S1:PVT:120:3,sub-04,ses-S1,PVT,0.5125570776255708,0.28343023255813954,concordant_midrange
sub-04:ses-S1:Flanker:120:0,sub-04,ses-S1,Flanker,0.2970868347338936,0.2252906976744186,poor_cognition_preserved_autonomic_regulation
sub-04:ses-S1:Flanker:120:1,sub-04,ses-S1,Flanker,0.4512605042016807,0.23255813953488372,concordant_midrange
sub-04:ses-S1:Flanker:120:2,sub-04,ses-S1,Flanker,0.46549019607843134,0.27325581395348836,concordant_midrange
sub-04:ses-S1:Flanker:120:3,sub-04,ses-S1,Flanker,0.5597759103641456,0.3066860465116279,concordant_midrange
