participant_id,session_id,task,sampling_rate_hz,ecg_channel,duration_seconds,n_annotations,n_behavioral_trials,primary_r_peaks,sensitivity_r_peaks,detector_concordance,detector_unmatched_rate
sub-05,ses-S1,NBack2,500.0,ECG1,353.212,193,144,423,423,1.0,0.0
sub-05,ses-S1,MATBEasy,500.0,ECG1,299.152,0,0,378,378,1.0,0.0
sub-05,ses-S1,MATBMedium,500.0,ECG1,299.452,0,0,375,376,0.9946808510638298,0.0053191489361702
sub-05,ses-S1,MATBDifficult,500.0,ECG1,299.154,0,0,364,363,0.9972527472527472,0.0027472527472527
sub-05,ses-S2,PVT,500.0,ECG1,591.054,271,90,767,768,0.9973958333333334,0.0026041666666666
sub-05,ses-S2,Flanker,500.0,ECG1,607.466,481,120,782,782,1.0,0.0
sub-05,ses-S2,NBack0,500.0,ECG1,346.562,202,144,423,423,1.0,0.0
sub-05,ses-S2,NBack1,500.0,ECG1,338.048,199,144,412,413,0.9975786924939468,0.0024213075060532
sub-05,ses-S2,NBack2,500.0,ECG1,344.554,186,144,429,429,0.9976689976689976,0.0023310023310023
sub-05,ses-S2,MATBEasy,500.0,ECG1,299.496,0,0,384,385,0.9974025974025974,0.0025974025974025
sub-05,ses-S2,MATBMedium,500.0,ECG1,299.104,0,0,393,393,0.9974554707379136,0.0025445292620864
sub-05,ses-S2,MATBDifficult,500.0,ECG1,299.316,0,0,432,432,0.9976851851851852,0.0023148148148147
sub-05,ses-S3,PVT,500.0,ECG1,647.974,271,90,832,832,0.9987980769230768,0.0012019230769231
sub-05,ses-S3,Flanker,500.0,ECG1,603.074,482,120,791,792,0.9987373737373736,0.0012626262626262
sub-05,ses-S3,NBack0,500.0,ECG1,324.386,202,144,399,400,0.9975,0.0024999999999999
sub-05,ses-S3,NBack1,500.0,ECG1,330.71,199,144,410,410,1.0,0.0
sub-05,ses-S3,NBack2,500.0,ECG1,336.61,197,144,447,447,0.9977628635346756,0.0022371364653244
sub-05,ses-S3,MATBEasy,500.0,ECG1,299.27,0,0,378,379,0.9973614775725592,0.0026385224274406
sub-05,ses-S3,MATBMedium,500.0,ECG1,299.208,0,0,371,371,1.0,0.0
sub-05,ses-S3,MATBDifficult,500.0,ECG1,299.28,0,0,430,431,0.9953596287703016,0.0046403712296984
